[0:01:13.398501] The current delay is 0.0
[0:01:13.884053] The current count is: 82
[0:01:13.889564] The current count is: 83
[0:01:13.894837] The current count is: 84
[0:01:13.900061] The current count is: 85
[0:01:13.905263] The current count is: 86
[0:01:13.910379] The current count is: 87
[0:01:13.915524] The current count is: 88
[0:01:13.920658] The current count is: 89
[0:01:13.925826] The current count is: 90
[0:01:13.930988] The current count is: 91
[0:01:13.936131] The current count is: 92
[0:01:13.941330] The current count is: 93
[0:01:13.946465] The current count is: 94
[0:01:13.951601] The current count is: 95
[0:01:13.956728] The current count is: 96
[0:01:13.961854] The current count is: 97
[0:01:13.966984] The current count is: 98
[0:01:13.972228] The current count is: 99
[0:01:13.977548] The current count is: 100
[0:01:13.982841] The current count is: 101
[0:01:13.988395] The current count is: 102
[0:01:13.994054] The current count is: 103
[0:01:13.999586] The current count is: 104
[0:01:14.004943] The current count is: 105
[0:01:14.010355] The current count is: 106
[0:01:14.015636] The current count is: 107
[0:01:14.020877] The current count is: 108
[0:01:14.026254] The current count is: 109
[0:01:14.031497] The current count is: 110
[0:01:14.036730] The current count is: 111
[0:01:14.041933] The current count is: 112
[0:01:14.047144] The current count is: 113
[0:01:14.052431] The current count is: 114
[0:01:14.057792] The current count is: 115
[0:01:14.063029] The current count is: 116
[0:01:14.068271] The current count is: 117
[0:01:14.073541] The current count is: 118
[0:01:14.078857] The current count is: 119
[0:01:14.084115] The current count is: 120
[0:01:14.089380] The current count is: 121
[0:01:14.094646] The current count is: 122
[0:01:14.099907] The current count is: 123
[0:01:14.105211] The current count is: 124
[0:01:14.110473] The current count is: 125
[0:01:14.115701] The current count is: 126
[0:01:14.121079] The current count is: 127
[0:01:14.126363] The current count is: 128
[0:01:14.131605] The current count is: 129
[0:01:14.136842] The current count is: 130
[0:01:14.142133] The current count is: 131
[0:01:14.147387] The current count is: 132
[0:01:14.152644] The current count is: 133
[0:01:14.157889] The current count is: 134
[0:01:14.163181] The current count is: 135
[0:01:14.168399] The current count is: 136
[0:01:14.173682] The current count is: 137
[0:01:14.178913] The current count is: 138
[0:01:14.184166] The current count is: 139
[0:01:14.189463] The current count is: 140
[0:01:14.194771] The current count is: 141
[0:01:14.200053] The current count is: 142
[0:01:14.205342] The current count is: 143
[0:01:14.210598] The current count is: 144
[0:01:14.215841] The current count is: 145
[0:01:14.221178] The current count is: 146
[0:01:14.226419] The current count is: 147
[0:01:14.231672] The current count is: 148
[0:01:14.236958] The current count is: 149
[0:01:14.242265] The current count is: 150
[0:01:14.247533] The current count is: 151
[0:01:14.252796] The current count is: 152
[0:01:14.258083] The current count is: 153
[0:01:14.263396] The current count is: 154
[0:01:14.268640] The current count is: 155
[0:01:14.273932] The current count is: 156
[0:01:14.279167] The current count is: 157
[0:01:14.284459] The current count is: 158
[0:01:14.290068] The current count is: 159
[0:01:14.295350] The current count is: 160
[0:01:14.300606] The current count is: 161
[0:01:14.305923] The current count is: 162
[0:01:14.315575] The current count is: 163
[0:01:14.320872] The current count is: 164
[0:01:14.326198] The current count is: 165
[0:01:14.331459] The current count is: 166
[0:01:14.336713] The current count is: 167
[0:01:14.341970] The current count is: 168
[0:01:14.347233] The current count is: 169
[0:01:14.352490] The current count is: 170
[0:01:14.357799] The current count is: 171
[0:01:14.363070] The current count is: 172
[0:01:14.368336] The current count is: 173
[0:01:14.373706] The current count is: 174
[0:01:14.378977] The current count is: 175
[0:01:14.384310] The current count is: 176
[0:01:14.389743] The current count is: 177
[0:01:14.395023] The current count is: 178
[0:01:14.400360] The current count is: 179
[0:01:14.405663] The current count is: 180
[0:01:14.410956] The current count is: 181
[0:01:14.416241] The current count is: 182
[0:01:14.421630] The current count is: 183
[0:01:14.426962] The current count is: 184
[0:01:14.432290] The current count is: 185
[0:01:14.437619] The current count is: 186
[0:01:14.442922] The current count is: 187
[0:01:14.448221] The current count is: 188
[0:01:14.453533] The current count is: 189
[0:01:14.458812] The current count is: 190
[0:01:14.464155] The current count is: 191
[0:01:14.469504] The current count is: 192
[0:01:14.474798] The current count is: 193
[0:01:14.480082] The current count is: 194
[0:01:14.485499] The current count is: 195
[0:01:14.490765] The current count is: 196
[0:01:14.534187] The current count is: 197
[0:01:14.539694] The current count is: 198
[0:01:14.545125] The current count is: 199
[0:01:14.550471] The current count is: 200
[0:01:14.555787] The current count is: 201
[0:01:14.561126] The current count is: 202
[0:01:14.566442] The current count is: 203
[0:01:14.571712] The current count is: 204
[0:01:14.577041] The current count is: 205
[0:01:14.582371] The current count is: 206
[0:01:14.587692] The current count is: 207
[0:01:14.593017] The current count is: 208
[0:01:14.598011] The current count is: 209
[0:01:14.602824] The current count is: 210
[0:01:14.607630] The current count is: 211
[0:01:14.612431] The current count is: 212
[0:01:14.617257] The current count is: 213
[0:01:14.622069] The current count is: 214
[0:01:14.626857] The current count is: 215
[0:01:14.631671] The current count is: 216
[0:01:14.636463] The current count is: 217
[0:01:14.641280] The current count is: 218
[0:01:14.646063] The current count is: 219
[0:01:14.650839] The current count is: 220
[0:01:14.655624] The current count is: 221
[0:01:14.660432] The current count is: 222
[0:01:14.665272] The current count is: 223
[0:01:14.670083] The current count is: 224
[0:01:14.674884] The current count is: 225
[0:01:14.679703] The current count is: 226
[0:01:14.684548] The current count is: 227
[0:01:14.689377] The current count is: 228
[0:01:14.694195] The current count is: 229
[0:01:14.699058] The current count is: 230
[0:01:14.703851] The current count is: 231
[0:01:14.708668] The current count is: 232
[0:01:14.713498] The current count is: 233
[0:01:14.718328] The current count is: 234
[0:01:14.731984] The current count is: 235
[0:01:14.736894] The current count is: 236
[0:01:14.741758] The current count is: 237
[0:01:14.746580] The current count is: 238
[0:01:14.751400] The current count is: 239
[0:01:14.756207] The current count is: 240
[0:01:14.761101] The current count is: 241
[0:01:14.765934] The current count is: 242
[0:01:14.770791] The current count is: 243
[0:01:14.775635] The current count is: 244
[0:01:14.780457] The current count is: 245
[0:01:14.785365] The current count is: 246
[0:01:14.790216] The current count is: 247
[0:01:14.795036] The current count is: 248
[0:01:14.799844] The current count is: 249
[0:01:14.804672] The current count is: 250
[0:01:14.809523] The current count is: 251
[0:01:14.814360] The current count is: 252
[0:01:14.819208] The current count is: 253
[0:01:14.824059] The current count is: 254
[0:01:14.828887] The current count is: 255
[0:01:14.833869] The current count is: 256
[0:01:14.838802] The current count is: 257
[0:01:14.847820] The current count is: 258
[0:01:14.852627] The current count is: 259
[0:01:14.857489] The current count is: 260
[0:01:14.862269] The current count is: 261
[0:01:14.867070] The current count is: 262
[0:01:14.871850] The current count is: 263
[0:01:14.876637] The current count is: 264
[0:01:14.881454] The current count is: 265
[0:01:14.886222] The current count is: 266
[0:01:14.890980] The current count is: 267
[0:01:14.895749] The current count is: 268
[0:01:14.900519] The current count is: 269
[0:01:14.905349] The current count is: 270
[0:01:14.910062] The current count is: 271
[0:01:14.915150] The current count is: 272
[0:01:14.919954] The current count is: 273
[0:01:14.924750] The current count is: 274
[0:01:14.929525] The current count is: 275
[0:01:14.934270] The current count is: 276
[0:01:14.938995] The current count is: 277
[0:01:14.943729] The current count is: 278
[0:01:14.948447] The current count is: 279
[0:01:14.953192] The current count is: 280
[0:01:15.440541] The current count is: 281
[0:01:15.445362] The current count is: 282
[0:01:15.450117] The current count is: 283
[0:01:15.454830] The current count is: 284
[0:01:15.459562] The current count is: 285
[0:01:15.464313] The current count is: 286
[0:01:15.469079] The current count is: 287
[0:01:15.473813] The current count is: 288
[0:01:15.478552] The current count is: 289
[0:01:15.483294] The current count is: 290
[0:01:15.488008] The current count is: 291
[0:01:15.492728] The current count is: 292
[0:01:15.497487] The current count is: 293
[0:01:15.502246] The current count is: 294
[0:01:15.506986] The current count is: 295
[0:01:15.511751] The current count is: 296
[0:01:15.516479] The current count is: 297
[0:01:15.521261] The current count is: 298
[0:01:15.526005] The current count is: 299
[0:01:15.530753] The current count is: 300
[0:01:15.535490] The current count is: 301
[0:01:15.540240] The current count is: 302
[0:01:15.544976] The current count is: 303
[0:01:15.549763] The current count is: 304
[0:01:15.554480] The current count is: 305
[0:01:15.559267] The current count is: 306
[0:01:15.564007] The current count is: 307
[0:01:15.568746] The current count is: 308
[0:01:15.573525] The current count is: 309
[0:01:15.578339] The current count is: 310
[0:01:15.583088] The current count is: 311
[0:01:15.587831] The current count is: 312
[0:01:15.592573] The current count is: 313
[0:01:15.597347] The current count is: 314
[0:01:15.602090] The current count is: 315
[0:01:15.606819] The current count is: 316
[0:01:15.611642] The current count is: 317
[0:01:15.616388] The current count is: 318
[0:01:15.621207] The current count is: 319
[0:01:15.625949] The current count is: 320
[0:01:15.630702] The current count is: 321
[0:01:15.635514] The current count is: 322
[0:01:15.640255] The current count is: 323
[0:01:15.645043] The current count is: 324
[0:01:15.649808] The current count is: 325
[0:01:15.654590] The current count is: 326
[0:01:15.659328] The current count is: 327
[0:01:15.664079] The current count is: 328
[0:01:15.668834] The current count is: 329
[0:01:15.673610] The current count is: 330
[0:01:15.678369] The current count is: 331
[0:01:15.683118] The current count is: 332
[0:01:15.687895] The current count is: 333
[0:01:15.692680] The current count is: 334
[0:01:15.697459] The current count is: 335
[0:01:15.702236] The current count is: 336
[0:01:15.706984] The current count is: 337
[0:01:15.711739] The current count is: 338
[0:01:15.716498] The current count is: 339
[0:01:15.721295] The current count is: 340
[0:01:15.726055] The current count is: 341
[0:01:15.730853] The current count is: 342
[0:01:15.735623] The current count is: 343
[0:01:15.740383] The current count is: 344
[0:01:15.745236] The current count is: 345
[0:01:15.750005] The current count is: 346
[0:01:15.754792] The current count is: 347
[0:01:15.759617] The current count is: 348
[0:01:15.764431] The current count is: 349
[0:01:15.769249] The current count is: 350
[0:01:15.774006] The current count is: 351
[0:01:15.778786] The current count is: 352
[0:01:15.783569] The current count is: 353
[0:01:15.792544] The current count is: 354
[0:01:15.797358] The current count is: 355
[0:01:15.802165] The current count is: 356
[0:01:15.806935] The current count is: 357
[0:01:15.811734] The current count is: 358
[0:01:15.816504] The current count is: 359
[0:01:15.821303] The current count is: 360
[0:01:15.826107] The current count is: 361
[0:01:15.830882] The current count is: 362
[0:01:15.835647] The current count is: 363
[0:01:15.840518] The current count is: 364
[0:01:15.845370] The current count is: 365
[0:01:15.850172] The current count is: 366
[0:01:15.854943] The current count is: 367
[0:01:15.859727] The current count is: 368
[0:01:15.864577] The current count is: 369
[0:01:15.869386] The current count is: 370
[0:01:15.874173] The current count is: 371
[0:01:15.878962] The current count is: 372
[0:01:15.883729] The current count is: 373
[0:01:15.888520] The current count is: 374
[0:01:15.893357] The current count is: 375
[0:01:15.898120] The current count is: 376
[0:01:15.902915] The current count is: 377
[0:01:15.907737] The current count is: 378
[0:01:15.912518] The current count is: 379
[0:01:15.917327] The current count is: 380
[0:01:15.922111] The current count is: 381
[0:01:15.926896] The current count is: 382
[0:01:15.931704] The current count is: 383
[0:01:15.936490] The current count is: 384
[0:01:15.941305] The current count is: 385
[0:01:15.946125] The current count is: 386
[0:01:15.956679] The current count is: 387
[0:01:15.961653] The current count is: 388
[0:01:15.966526] The current count is: 389
[0:01:15.971445] The current count is: 390
[0:01:15.976257] The current count is: 391
[0:01:15.981129] The current count is: 392
[0:01:15.985976] The current count is: 393
[0:01:15.990790] The current count is: 394
[0:01:15.995660] The current count is: 395
[0:01:16.000510] The current count is: 396
[0:01:16.005354] The current count is: 397
[0:01:16.010177] The current count is: 398
[0:01:16.015005] The current count is: 399
[0:01:16.019842] The current count is: 400
[0:01:16.024677] The current count is: 401
[0:01:16.029541] The current count is: 402
[0:01:16.034380] The current count is: 403
[0:01:16.039259] The current count is: 404
[0:01:16.044092] The current count is: 405
[0:01:16.048940] The current count is: 406
[0:01:16.053795] The current count is: 407
[0:01:16.058712] The current count is: 408
[0:01:16.063609] The current count is: 409
[0:01:16.068592] The current count is: 410
[0:01:16.073511] The current count is: 411
[0:01:16.078350] The current count is: 412
[0:01:16.083194] The current count is: 413
[0:01:16.088032] The current count is: 414
[0:01:16.092867] The current count is: 415
[0:01:16.097694] The current count is: 416
[0:01:16.102532] The current count is: 417
[0:01:16.107348] The current count is: 418
[0:01:16.112177] The current count is: 419
[0:01:16.117044] The current count is: 420
[0:01:16.121900] The current count is: 421
[0:01:16.126776] The current count is: 422
[0:01:16.131637] The current count is: 423
[0:01:16.136456] The current count is: 424
[0:01:16.141342] The current count is: 425
[0:01:16.146178] The current count is: 426
[0:01:16.151015] The current count is: 427
[0:01:16.155891] The current count is: 428
[0:01:16.160817] The current count is: 429
[0:01:16.165705] The current count is: 430
[0:01:16.170557] The current count is: 431
[0:01:16.175409] The current count is: 432
[0:01:16.180256] The current count is: 433
[0:01:16.185194] The current count is: 434
[0:01:16.190172] The current count is: 435
[0:01:16.195060] The current count is: 436
[0:01:16.199921] The current count is: 437
[0:01:16.212047] The current count is: 438
[0:01:16.216884] The current count is: 439
[0:01:16.221748] The current count is: 440
[0:01:16.226573] The current count is: 441
[0:01:16.231406] The current count is: 442
[0:01:16.236237] The current count is: 443
[0:01:16.241087] The current count is: 444
[0:01:16.245917] The current count is: 445
[0:01:16.250725] The current count is: 446
[0:01:16.255554] The current count is: 447
[0:01:16.260384] The current count is: 448
[0:01:16.271226] The current count is: 449
[0:01:16.275933] The current count is: 450
[0:01:16.280641] The current count is: 451
[0:01:16.285391] The current count is: 452
[0:01:16.290114] The current count is: 453
[0:01:16.294822] The current count is: 454
[0:01:16.299543] The current count is: 455
[0:01:16.304409] The current count is: 456
[0:01:16.309207] The current count is: 457
[0:01:16.313929] The current count is: 458
[0:01:16.318622] The current count is: 459
[0:01:16.323309] The current count is: 460
[0:01:16.328054] The current count is: 461
[0:01:16.332789] The current count is: 462
[0:01:16.337526] The current count is: 463
[0:01:16.342306] The current count is: 464
[0:01:16.347045] The current count is: 465
[0:01:16.351822] The current count is: 466
[0:01:16.356560] The current count is: 467
[0:01:16.361322] The current count is: 468
[0:01:16.366062] The current count is: 469
[0:01:16.370768] The current count is: 470
[0:01:16.375460] The current count is: 471
[0:01:16.380190] The current count is: 472
[0:01:16.384939] The current count is: 473
[0:01:16.389711] The current count is: 474
[0:01:16.394436] The current count is: 475
[0:01:16.399150] The current count is: 476
[0:01:16.403861] The current count is: 477
[0:01:16.408567] The current count is: 478
[0:01:16.413300] The current count is: 479
[0:01:16.418039] The current count is: 480
[0:01:16.422937] The current count is: 481
[0:01:16.427795] The current count is: 482
[0:01:16.432579] The current count is: 483
[0:01:16.437378] The current count is: 484
[0:01:16.442109] The current count is: 485
[0:01:16.446937] The current count is: 486
[0:01:16.451694] The current count is: 487
[0:01:16.456401] The current count is: 488
[0:01:16.469979] The current count is: 489
[0:01:16.474795] The current count is: 490
[0:01:16.479589] The current count is: 491
[0:01:16.484328] The current count is: 492
[0:01:16.489068] The current count is: 493
[0:01:16.493801] The current count is: 494
[0:01:16.498573] The current count is: 495
[0:01:16.503315] The current count is: 496
[0:01:16.508059] The current count is: 497
[0:01:16.512780] The current count is: 498
[0:01:16.517526] The current count is: 499
[0:01:16.522325] The current count is: 500
[0:01:16.527047] The current count is: 501
[0:01:16.532072] The current count is: 502
[0:01:16.536875] The current count is: 503
[0:01:16.541620] The current count is: 504
[0:01:16.546369] The current count is: 505
[0:01:16.551114] The current count is: 506
[0:01:16.555854] The current count is: 507
[0:01:16.560586] The current count is: 508
[0:01:16.565361] The current count is: 509
[0:01:16.570111] The current count is: 510
[0:01:16.574867] The current count is: 511
[0:01:16.579660] The current count is: 512
[0:01:16.584397] The current count is: 513
[0:01:16.589171] The current count is: 514
[0:01:16.593917] The current count is: 515
[0:01:16.598639] The current count is: 516
[0:01:16.603381] The current count is: 517
[0:01:16.608125] The current count is: 518
[0:01:16.612852] The current count is: 519
[0:01:16.617609] The current count is: 520
[0:01:16.622342] The current count is: 521
[0:01:16.627086] The current count is: 522
[0:01:16.631810] The current count is: 523
[0:01:16.636552] The current count is: 524
[0:01:16.641334] The current count is: 525
[0:01:16.646091] The current count is: 526
[0:01:16.650842] The current count is: 527
[0:01:16.655618] The current count is: 528
[0:01:16.660363] The current count is: 529
[0:01:16.665156] The current count is: 530
[0:01:16.669899] The current count is: 531
[0:01:16.674669] The current count is: 532
[0:01:16.679441] The current count is: 533
[0:01:16.684201] The current count is: 534
[0:01:16.688948] The current count is: 535
[0:01:16.693731] The current count is: 536
[0:01:16.698488] The current count is: 537
[0:01:16.703238] The current count is: 538
[0:01:16.707999] The current count is: 539
[0:01:16.712717] The current count is: 540
[0:01:16.717503] The current count is: 541
[0:01:16.722236] The current count is: 542
[0:01:16.726977] The current count is: 543
[0:01:16.735930] The current count is: 544
[0:01:16.740689] The current count is: 545
[0:01:16.745484] The current count is: 546
[0:01:16.750257] The current count is: 547
[0:01:16.755002] The current count is: 548
[0:01:16.759763] The current count is: 549
[0:01:16.764506] The current count is: 550
[0:01:16.769275] The current count is: 551
[0:01:16.774040] The current count is: 552
[0:01:16.778948] The current count is: 553
[0:01:16.783779] The current count is: 554
[0:01:16.788566] The current count is: 555
[0:01:16.793410] The current count is: 556
[0:01:16.798256] The current count is: 557
[0:01:16.803028] The current count is: 558
[0:01:16.807858] The current count is: 559
[0:01:16.812635] The current count is: 560
[0:01:16.817442] The current count is: 561
[0:01:16.822249] The current count is: 562
[0:01:16.827025] The current count is: 563
[0:01:16.831767] The current count is: 564
[0:01:16.836547] The current count is: 565
[0:01:16.841405] The current count is: 566
[0:01:16.846194] The current count is: 567
[0:01:16.851000] The current count is: 568
[0:01:16.855759] The current count is: 569
[0:01:16.860536] The current count is: 570
[0:01:16.865462] The current count is: 571
[0:01:16.870268] The current count is: 572
[0:01:16.875014] The current count is: 573
[0:01:16.879801] The current count is: 574
[0:01:16.884593] The current count is: 575
[0:01:16.889408] The current count is: 576
[0:01:16.894246] The current count is: 577
[0:01:16.899013] The current count is: 578
[0:01:16.903783] The current count is: 579
[0:01:16.908581] The current count is: 580
[0:01:16.913445] The current count is: 581
[0:01:16.918246] The current count is: 582
[0:01:16.923032] The current count is: 583
[0:01:16.927803] The current count is: 584
[0:01:16.932582] The current count is: 585
[0:01:16.937422] The current count is: 586
[0:01:16.942231] The current count is: 587
[0:01:16.947000] The current count is: 588
[0:01:16.951769] The current count is: 589
[0:01:16.956557] The current count is: 590
[0:01:16.961371] The current count is: 591
[0:01:16.966202] The current count is: 592
[0:01:16.971008] The current count is: 593
[0:01:16.975803] The current count is: 594
[0:01:16.980629] The current count is: 595
[0:01:16.985447] The current count is: 596
[0:01:16.990273] The current count is: 597
[0:01:16.995060] The current count is: 598
[0:01:16.999882] The current count is: 599
[0:01:17.004666] The current count is: 600
[0:01:17.009482] The current count is: 601
[0:01:17.014352] The current count is: 602
[0:01:17.019139] The current count is: 603
[0:01:17.023932] The current count is: 604
[0:01:17.028763] The current count is: 605
[0:01:17.033563] The current count is: 606
[0:01:17.038405] The current count is: 607
[0:01:17.043209] The current count is: 608
[0:01:17.048010] The current count is: 609
[0:01:17.052811] The current count is: 610
[0:01:17.057656] The current count is: 611
[0:01:17.062489] The current count is: 612
[0:01:17.067306] The current count is: 613
[0:01:17.072142] The current count is: 614
[0:01:17.077015] The current count is: 615
[0:01:17.081852] The current count is: 616
[0:01:17.087014] The current count is: 617
[0:01:17.091949] The current count is: 618
[0:01:17.096797] The current count is: 619
[0:01:17.101634] The current count is: 620
[0:01:17.106457] The current count is: 621
[0:01:17.111274] The current count is: 622
[0:01:17.116109] The current count is: 623
[0:01:17.120907] The current count is: 624
[0:01:17.125744] The current count is: 625
[0:01:17.130558] The current count is: 626
[0:01:17.135404] The current count is: 627
[0:01:17.140239] The current count is: 628
[0:01:17.145151] The current count is: 629
[0:01:17.149998] The current count is: 630
[0:01:17.154831] The current count is: 631
[0:01:17.159664] The current count is: 632
[0:01:17.164500] The current count is: 633
[0:01:17.169327] The current count is: 634
[0:01:17.174159] The current count is: 635
[0:01:17.178965] The current count is: 636
[0:01:17.183795] The current count is: 637
[0:01:17.188607] The current count is: 638
[0:01:17.197561] The current count is: 639
[0:01:17.202334] The current count is: 640
[0:01:17.207119] The current count is: 641
[0:01:17.211854] The current count is: 642
[0:01:17.216597] The current count is: 643
[0:01:17.221415] The current count is: 644
[0:01:17.226161] The current count is: 645
[0:01:17.230905] The current count is: 646
[0:01:17.235691] The current count is: 647
[0:01:17.240444] The current count is: 648
[0:01:17.245231] The current count is: 649
[0:01:17.250025] The current count is: 650
[0:01:17.254777] The current count is: 651
[0:01:17.259548] The current count is: 652
[0:01:17.264244] The current count is: 653
[0:01:17.268944] The current count is: 654
[0:01:17.273704] The current count is: 655
[0:01:17.278415] The current count is: 656
[0:01:17.283175] The current count is: 657
[0:01:17.287904] The current count is: 658
[0:01:17.292607] The current count is: 659
[0:01:17.297348] The current count is: 660
[0:01:17.302093] The current count is: 661
[0:01:17.639701] The current count is: 662
[0:01:17.644473] The current count is: 663
[0:01:17.649262] The current count is: 664
[0:01:17.653975] The current count is: 665
[0:01:17.658690] The current count is: 666
[0:01:17.663399] The current count is: 667
[0:01:17.668139] The current count is: 668
[0:01:17.672858] The current count is: 669
[0:01:17.677554] The current count is: 670
[0:01:17.682239] The current count is: 671
[0:01:17.686972] The current count is: 672
[0:01:17.691718] The current count is: 673
[0:01:17.696420] The current count is: 674
[0:01:17.701173] The current count is: 675
[0:01:17.705904] The current count is: 676
[0:01:17.710631] The current count is: 677
[0:01:17.715339] The current count is: 678
[0:01:17.720063] The current count is: 679
[0:01:17.724763] The current count is: 680
[0:01:17.729519] The current count is: 681
[0:01:17.734248] The current count is: 682
[0:01:17.738965] The current count is: 683
[0:01:17.743678] The current count is: 684
[0:01:17.748413] The current count is: 685
[0:01:17.753185] The current count is: 686
[0:01:17.757919] The current count is: 687
[0:01:17.762675] The current count is: 688
[0:01:17.767383] The current count is: 689
[0:01:17.772097] The current count is: 690
[0:01:17.776806] The current count is: 691
[0:01:17.781531] The current count is: 692
[0:01:17.786233] The current count is: 693
[0:01:17.790932] The current count is: 694
[0:01:17.795654] The current count is: 695
[0:01:17.800362] The current count is: 696
[0:01:17.805219] The current count is: 697
[0:01:17.810022] The current count is: 698
[0:01:17.814794] The current count is: 699
[0:01:17.819541] The current count is: 700
[0:01:17.824279] The current count is: 701
[0:01:17.829027] The current count is: 702
[0:01:17.833759] The current count is: 703
[0:01:17.838553] The current count is: 704
[0:01:17.843327] The current count is: 705
[0:01:17.848059] The current count is: 706
[0:01:17.852800] The current count is: 707
[0:01:17.857571] The current count is: 708
[0:01:17.862288] The current count is: 709
[0:01:17.867010] The current count is: 710
[0:01:17.871759] The current count is: 711
[0:01:17.876510] The current count is: 712
[0:01:17.881304] The current count is: 713
[0:01:17.886064] The current count is: 714
[0:01:17.890809] The current count is: 715
[0:01:17.895633] The current count is: 716
[0:01:17.900361] The current count is: 717
[0:01:17.905132] The current count is: 718
[0:01:17.909895] The current count is: 719
[0:01:17.914634] The current count is: 720
[0:01:17.919372] The current count is: 721
[0:01:17.924135] The current count is: 722
[0:01:17.928895] The current count is: 723
[0:01:17.933700] The current count is: 724
[0:01:17.938463] The current count is: 725
[0:01:17.943259] The current count is: 726
[0:01:17.948006] The current count is: 727
[0:01:17.952752] The current count is: 728
[0:01:17.957525] The current count is: 729
[0:01:17.962280] The current count is: 730
[0:01:17.967023] The current count is: 731
[0:01:17.972112] The current count is: 732
[0:01:17.976957] The current count is: 733
[0:01:17.981789] The current count is: 734
[0:01:17.990737] The current count is: 735
[0:01:17.995515] The current count is: 736
[0:01:18.000275] The current count is: 737
[0:01:18.005142] The current count is: 738
[0:01:18.009922] The current count is: 739
[0:01:18.014693] The current count is: 740
[0:01:18.019470] The current count is: 741
[0:01:18.024228] The current count is: 742
[0:01:18.037820] The current count is: 743
[0:01:18.042660] The current count is: 744
[0:01:18.047485] The current count is: 745
[0:01:18.052268] The current count is: 746
[0:01:18.057072] The current count is: 747
[0:01:18.061862] The current count is: 748
[0:01:18.066645] The current count is: 749
[0:01:18.071447] The current count is: 750
[0:01:18.076191] The current count is: 751
[0:01:18.080931] The current count is: 752
[0:01:18.085776] The current count is: 753
[0:01:18.090576] The current count is: 754
[0:01:18.095423] The current count is: 755
[0:01:18.100180] The current count is: 756
[0:01:18.104929] The current count is: 757
[0:01:18.109756] The current count is: 758
[0:01:18.114538] The current count is: 759
[0:01:18.119312] The current count is: 760
[0:01:18.124081] The current count is: 761
[0:01:18.128867] The current count is: 762
[0:01:18.133664] The current count is: 763
[0:01:18.138458] The current count is: 764
[0:01:18.143219] The current count is: 765
[0:01:18.148030] The current count is: 766
[0:01:18.152785] The current count is: 767
[0:01:18.157526] The current count is: 768
[0:01:18.162287] The current count is: 769
[0:01:18.167082] The current count is: 770
[0:01:18.171923] The current count is: 771
[0:01:18.176709] The current count is: 772
[0:01:18.181547] The current count is: 773
[0:01:18.186309] The current count is: 774
